﻿Dato,Wind,Temp,Sun,MWh,Flow
29-03-2021 00:00,6.63,7.88,5,327752,9817.36
30-03-2021 00:00,4.25,8.58,641,265781,8404.78
31-03-2021 00:00,2.42,8.88,600,236748,7849.66
01-04-2021 00:00,4.04,6.17,389,240879,7932.14
02-04-2021 00:00,4.67,5.13,505,271604,8507.11
03-04-2021 00:00,1.54,4.04,688,276719,8799.62
04-04-2021 00:00,6.83,4.96,4,294698,9180.62
05-04-2021 00:00,8.21,1.58,332,354813,10094.04
06-04-2021 00:00,7.13,2.17,360,369760,10488.52
07-04-2021 00:00,6.5,3.13,263,355051,10132.46
08-04-2021 00:00,6.54,3.21,105,384497,10855.15
09-04-2021 00:00,7.54,4.17,344,329503,9573.72
10-04-2021 00:00,3.21,3,547,322122,9504.24
11-04-2021 00:00,4.33,1.13,9,355889,10316.89
12-04-2021 00:00,4.96,2.58,410,358312,10278.29
13-04-2021 00:00,5.5,3.67,395,338497,9661.19
14-04-2021 00:00,2.17,3.33,435,326192,9295.95
15-04-2021 00:00,2.21,4,523,325813,9379.82
16-04-2021 00:00,2.54,5.29,588,293691,8732.28
17-04-2021 00:00,3,7.08,461,264294,7984.51
